 ,X,Y,Slice
1,72.000,1266.000,22
2,1043.500,1196.500,23
3,1916.500,1295.500,26
4,62.500,857.500,44
5,140.500,989.500,44
6,170.500,719.500,39
7,983.500,680.500,37
8,998.500,785.500,44
9,944.500,923.500,47
10,1856.500,722.500,50
11,1820.500,851.500,51
12,1856.500,965.500,53
13,48.000,1275.000,8
14,1142.500,1277.500,8
15,1976.500,1307.500,8
16,77.500,875.500,8
17,953.500,878.500,8
18,1976.500,911.500,8
19,1946.500,734.500,8
20,1004.500,686.500,8
21,101.500,686.500,8
22,104.500,563.500,8
23,995.500,527.500,8
24,1985.500,530.500,8
25,24.000,1038.000,64
26,860.500,998.500,64
27,1940.500,1043.500,64
28,1958.500,878.500,43
29,866.500,803.500,43
30,116.500,809.500,43
31,1967.500,758.500,38
32,938.500,686.500,38
33,143.500,704.500,38
34,1886.500,647.500,33
35,899.500,542.500,33
36,92.500,590.500,33
37,57.000,1356.000,5
38,899.500,1328.500,5
39,1928.500,1376.500,5
40,1928.500,1046.500,19
41,893.500,1031.500,19
42,122.500,1052.500,23
43,1952.500,893.500,18
44,962.500,872.500,18
45,77.500,917.500,21
46,1955.500,785.500,17
47,1010.500,734.500,17
48,95.500,773.500,16
49,1890.000,1245.000,10
50,941.500,1106.500,10
51,134.500,1145.500,10
52,1934.500,803.500,17
53,131.500,770.500,15
54,992.500,716.500,15
55,170.500,584.500,19
56,86.500,431.500,16
57,1952.500,449.500,19
58,1850.500,614.500,24
59,1016.500,362.500,25
60,1001.500,527.500,27
61,39.000,1254.000,63
62,809.500,1226.500,63
63,1817.500,1247.500,65
64,125.500,890.500,29
65,764.500,836.500,29
66,1739.500,842.500,32
67,80.500,980.500,49
68,920.500,935.500,49
69,1865.500,974.500,49
70,128.500,1073.500,67
71,896.500,1034.500,67
72,1853.500,1070.500,67
73,48.000,1344.000,10
74,797.500,1328.500,10
75,1823.500,1343.500,10
76,104.500,944.500,12
77,890.500,911.500,12
78,1883.500,923.500,12
79,107.500,731.500,12
80,986.500,692.500,12
81,1877.500,776.500,12
82,65.500,566.500,10
83,1109.500,563.500,10
84,1955.500,578.500,10
85,141.000,1356.000,33
86,968.500,1307.500,39
87,1892.500,1355.500,46
88,137.500,1016.500,59
89,83.500,818.500,54
90,143.500,662.500,49
91,986.500,662.500,58
92,959.500,830.500,58
93,1028.500,1001.500,62
94,1916.500,932.500,67
95,1967.500,725.500,57
96,1946.500,1025.500,78
97,1944.000,1377.000,16
98,920.500,1280.500,16
99,266.500,1316.500,16
100,116.500,935.500,14
101,962.500,905.500,14
102,1976.500,1034.500,14
103,860.500,719.500,14
104,110.500,758.500,14
105,101.500,587.500,14
106,827.500,572.500,14
107,1979.500,668.500,14
108,1967.500,797.500,14
109,105.000,1107.000,22
110,908.500,1097.500,28
111,1883.500,1112.500,35
112,74.500,797.500,50
113,110.500,662.500,59
114,125.500,488.500,63
115,986.500,776.500,65
116,932.500,656.500,76
117,866.500,527.500,79
118,1943.500,689.500,91
119,1823.500,527.500,93
120,1973.500,839.500,82
121,102.000,1104.000,49
122,959.500,1172.500,49
123,1733.500,1130.500,54
124,32.500,995.500,46
125,1091.500,1055.500,46
126,1832.500,1007.500,48
127,104.500,740.500,31
128,896.500,755.500,31
129,1646.500,698.500,31
130,59.500,1367.500,91
131,1001.500,1373.500,91
132,1862.500,1376.500,96
133,78.000,1236.000,10
134,767.500,1184.500,10
135,1892.500,1307.500,10
136,1886.500,1010.500,9
137,962.500,872.500,9
138,35.500,908.500,9
139,1061.500,725.500,10
140,1934.500,872.500,10
141,182.500,746.500,15
142,1937.500,701.500,12
143,1049.500,527.500,12
144,71.500,617.500,12
