 ,X,Y,Slice
1,1899.000,1101.000,35
2,1091.500,1040.500,54
3,98.500,1043.500,63
4,1949.500,692.500,76
5,1916.500,821.500,81
6,1928.500,560.500,78
7,1040.500,683.500,77
8,1028.500,815.500,87
9,986.500,494.500,77
10,119.500,641.500,95
11,53.500,824.500,100
12,71.500,506.500,92
13,30.000,1248.000,79
14,953.500,1166.500,79
15,1907.500,1163.500,80
16,44.500,698.500,79
17,1040.500,677.500,79
18,1991.500,662.500,79
19,1961.500,539.500,79
20,989.500,521.500,79
21,59.500,566.500,79
22,35.500,896.500,75
23,1022.500,812.500,75
24,1940.500,842.500,75
